No.,Time,Source,Destination,Protocol,Length,Source,Destination,,,,,
1,0,3699552028,2203689291,10,1438,220.130.175.28,131.89.161.75,,,CN/IP,1,
2,0.000474,2203667416,3365857980,10,78,131.89.75.216,200.158.234.188,,,DNS,2,
3,0.000921,2203689291,3699552028,10,70,131.89.161.75,220.130.175.28,,,ESP,3,
4,0.00125,3376822466,2203667416,10,1438,201.70.56.194,131.89.75.216,,,ICMP,4,
5,0.001988,2203667416,840498997,10,70,131.89.75.216,50.24.255.53,,,IPv4,5,
6,0.002071,2203667416,3376822466,10,70,131.89.75.216,201.70.56.194,,,LOOP,6,ip invalid
7,0.002571,3699552028,2203689291,10,1438,220.130.175.28,131.89.161.75,,,NBNS,7,
8,0.002688,3692741398,2203667416,10,78,220.26.195.22,131.89.75.216,,,NCP,8,
9,0.002695,2203667416,3365857981,10,617,131.89.75.216,200.158.234.189,,,NTP,9,
10,0.002746,2203667416,3448747241,10,689,131.89.75.216,205.143.180.233,,,TCP,10,
11,0.003138,2203667416,3692741398,10,70,131.89.75.216,220.26.195.22,,,UDP,11,
8675,4.00069,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8676,4.000767,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8677,4.002187,3643796969,2203709475,10,1438,217.47.237.233,131.89.240.35,,,,,
8678,4.002304,3521639917,2203667408,10,64,209.231.245.237,131.89.75.208,,,,,
8679,4.002311,3643427031,2203667408,10,66,217.42.72.215,131.89.75.208,,,,,
8680,4.002801,2203667408,3643427031,10,66,131.89.75.208,217.42.72.215,,,,,
8681,4.003139,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8682,4.003189,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8683,4.003373,2203667408,3521639917,10,594,131.89.75.208,209.231.245.237,,,,,
8684,4.003422,2203709475,3643796969,10,64,131.89.240.35,217.47.237.233,,,,,
8685,4.003827,3375367982,2203689291,10,1438,201.48.7.46,131.89.161.75,,,,,
8686,4.003944,3380929647,3296060652,4,124,201.132.228.111,196.117.228.236,,,,,
8687,4.004128,2203686786,3643770092,10,1057,131.89.151.130,217.47.132.236,,,,,
8688,4.004602,2203689291,3375367982,10,70,131.89.161.75,201.48.7.46,,,,,
8689,4.005205,825014284,2203689291,10,1438,49.44.184.12,131.89.161.75,,,,,
8690,4.006683,3361622417,2203689291,10,1400,200.94.73.145,131.89.161.75,,,,,
8691,4.007966,3296060491,3579350585,10,70,196.117.228.75,213.88.142.57,,,,,
8692,4.008153,3375367982,2203689291,10,1438,201.48.7.46,131.89.161.75,,,,,
8693,4.008269,1528024571,2203667449,2,164,91.19.205.251,131.89.75.249,,,,,
8694,4.008923,2203689291,3375367982,10,70,131.89.161.75,201.48.7.46,,,,,
8695,4.00916,2203667449,3350984240,2,83,131.89.75.249,199.187.246.48,,,,,
8696,4.00954,3452075509,2203689291,10,1438,205.194.125.245,131.89.161.75,,,,,
8697,4.009656,3296060491,3579350585,10,70,196.117.228.75,213.88.142.57,,,,,
